model,fold,fit_seconds,best_epoch,best_val_loss,final_val_loss,lrap,label_ranking_loss,coverage_error,hamming_loss,micro_f1,macro_f1,prediction_density,top1_hit_rate,top3_hit_rate
attention_bigru,1,641.668,3,1.5183794498443604,1.5183794498443604,0.0792097116761985,0.5892798053649111,62.21621621621622,0.6354954954954954,0.0970302099334357,0.0589999750011707,0.6434234234234234,0.0135135135135135,0.0472972972972973
attention_bigru,2,433.227,1,1.1163438558578491,1.1163438558578491,0.0649315082616115,0.5681925593730441,57.9527027027027,0.513063063063063,0.0714169248328713,0.0407133059883616,0.4972972972972973,0.0,0.0067567567567567
attention_bigru,3,749.493,4,1.2585724592208862,1.2585724592208862,0.0691901972011902,0.6467359767327882,61.12162162162162,0.6627027027027027,0.0653113087674714,0.0436973261888353,0.6549549549549549,0.0,0.054054054054054
attention_bigru,4,735.135,4,1.4120771884918213,1.4120771884918213,0.0843267930778841,0.6615573696298624,60.52702702702703,0.6869369369369369,0.0647614375076658,0.0463024858484113,0.6777477477477477,0.0405405405405405,0.081081081081081
attention_bigru,5,603.569,2,1.4488704204559326,1.4488704204559326,0.061522572761569,0.661319703375716,63.734693877551024,0.5634467120181406,0.0750446694460988,0.0492226326306629,0.5539229024943311,0.0,0.0544217687074829
cnn_baseline_lsw,1,8.626,1,1.511306643486023,1.511306643486023,0.0869053751741865,0.5329400655409497,58.67567567567568,0.4993693693693694,0.1017663263652568,0.0546073304348575,0.4955855855855856,0.0202702702702702,0.1283783783783783
cnn_baseline_lsw,2,6.496,1,1.108328938484192,1.108328938484192,0.1173412336702677,0.5257975900354506,64.43243243243244,0.5563063063063063,0.0890986871219944,0.0479524286269933,0.5554954954954955,0.0067567567567567,0.3108108108108108
cnn_baseline_lsw,3,230.099,4,1.2679015398025513,1.2679015398025513,0.0870887829062155,0.6123407105875429,60.722972972972975,0.5997297297297297,0.0662084443821012,0.044796040657024,0.5881981981981982,0.0067567567567567,0.2229729729729729
cnn_baseline_lsw,4,722.265,4,1.424882173538208,1.424882173538208,0.0766014137472219,0.5842543067372841,58.18918918918919,0.5615315315315316,0.0832475364024121,0.0483140142526538,0.5557657657657658,0.0,0.0202702702702702
cnn_baseline_lsw,5,635.017,3,1.4392908811569214,1.4392908811569214,0.0673205103255493,0.6351615458189952,59.7891156462585,0.6439002267573696,0.0769730854245221,0.0526300536343754,0.6423582766439909,0.0,0.0612244897959183
