model,threshold,lrap,label_ranking_loss,coverage_error,hamming_loss,micro_f1,macro_f1,prediction_density,top1_hit_rate,top3_hit_rate
extra_trees,0.45,0.9329423602979467,0.0088798733635673,6.092016238159675,0.011998195760036,0.8917467035650334,0.6318849540031807,0.0545060893098782,0.9431664411366713,0.9878213802435724
logistic_regression_l1,0.8,0.9010576921072156,0.0168802467766975,7.79702300405954,0.0170681100586378,0.8438428524265434,0.6099872415829417,0.0529724853405502,0.93234100135318,0.986468200270636
knn_distance,0.45,0.8953984505070957,0.0322988988843111,11.921515561569688,0.0163464140730717,0.8500496524329693,0.548209913440126,0.0526838069463238,0.918809201623816,0.9702300405953992
linear_svm,0.55,0.8561460728628397,0.0397450531972299,13.066305818673884,0.0199729364005412,0.8202630297126157,0.5705116714813969,0.0547947677041046,0.9079837618403248,0.9769959404600812
