model,fit_seconds,best_threshold,lrap,lrap_std,label_ranking_loss,label_ranking_loss_std,coverage_error,coverage_error_std,hamming_loss,hamming_loss_std,micro_f1,micro_f1_std,macro_f1,macro_f1_std,top1_hit_rate,top1_hit_rate_std,top3_hit_rate,top3_hit_rate_std,prediction_density,prediction_density_std
extra_trees,132.072,0.45,0.9329407667420837,0.0055539201475691665,0.008881377024042991,0.0021288036811045025,6.092020592020591,0.21897070305771407,0.012321750321750322,0.0014389710398924767,0.8861299302080049,0.015221016142177394,0.5755112939866742,0.02001532679231483,0.9431605074462217,0.008151050774462435,0.9878194521051664,0.005061338751480022,0.05212281669424527,0.0015760477399394829
logistic_regression_l1,4.189,0.8,0.9010688057154741,0.006392594527675824,0.01687870397172897,0.004812935048661161,7.796782496782496,0.714185837162496,0.021287859287859284,0.0012725671347118017,0.8251137230796572,0.01103498038454784,0.5737186891708571,0.030275966232749935,0.9323680823680822,0.014715496400273117,0.9864681007538151,0.008546775481585328,0.06549145063430778,0.0018961855646093886
knn_distance,6.187,0.45,0.8954008280003339,0.007004851966690783,0.03230631626768227,0.003795425646889002,11.921640007354293,0.8432344194364304,0.016724275295703868,0.0010914204806234402,0.8448384648068773,0.013176100904568284,0.5209917936882201,0.02108763281483476,0.9188361831218973,0.015299437526883694,0.9702334988049273,0.012524199963185243,0.051688668260096826,0.0019997486250092626
linear_svm,12.729,0.55,0.8561213294765807,0.015419572607870717,0.039746088204715015,0.007188840408033217,13.06617025188454,1.3168147805424746,0.035002512716798426,0.009071213383682171,0.7329639241511005,0.05355291095550419,0.5393827769044031,0.02127722163705573,0.9079518293804008,0.025639571665048645,0.9770086412943556,0.0068653788169164,0.0730711527854385,0.00898939932736713
