model,threshold,lrap,label_ranking_loss,coverage_error,hamming_loss,micro_f1,macro_f1,prediction_density,top1_hit_rate,top3_hit_rate
cnn_baseline_lsw,0.4,0.0870781626949172,0.578021627638395,60.36265223274695,0.9322688317546234,0.10753579632796173,0.09477405934855662,0.9882724402345512,0.006765899864682003,0.14884979702300405
attention_bigru,0.35,0.0718501127307842,0.6253685001882543,61.106901217861974,0.9427334235453315,0.1066525329549146,0.09470399927991058,0.9989535408209291,0.010825439783491205,0.04871447902571042
