model,fit_seconds,best_threshold,lrap,lrap_std,label_ranking_loss,label_ranking_loss_std,coverage_error,coverage_error_std,hamming_loss,hamming_loss_std,micro_f1,micro_f1_std,macro_f1,macro_f1_std,top1_hit_rate,top1_hit_rate_std,top3_hit_rate,top3_hit_rate_std,prediction_density,prediction_density_std
extra_trees,132.072,0.45,0.9329407667420836,0.0055539201475691,0.0088813770240429,0.0021288036811045,6.092020592020591,0.218970703057714,0.0123217503217503,0.0014389710398924,0.8861299302080049,0.0152210161421773,0.5755112939866742,0.0200153267923148,0.9431605074462216,0.0081510507744624,0.9878194521051664,0.00506133875148,0.0521228166942452,0.0015760477399394
logistic_regression_l1,4.189,0.8,0.901068805715474,0.0063925945276758,0.0168787039717289,0.0048129350486611,7.796782496782496,0.714185837162496,0.0212878592878592,0.0012725671347118,0.8251137230796572,0.0110349803845478,0.5737186891708571,0.0302759662327499,0.9323680823680822,0.0147154964002731,0.9864681007538152,0.0085467754815853,0.0654914506343077,0.0018961855646093
knn_distance,6.187,0.45,0.8954008280003339,0.0070048519666907,0.0323063162676822,0.003795425646889,11.921640007354291,0.8432344194364304,0.0167242752957038,0.0010914204806234,0.8448384648068773,0.0131761009045682,0.5209917936882201,0.0210876328148347,0.9188361831218972,0.0152994375268836,0.9702334988049272,0.0125241999631852,0.0516886682600968,0.0019997486250092
linear_svm,12.729,0.55,0.8561213294765807,0.0154195726078707,0.039746088204715,0.0071888404080332,13.06617025188454,1.3168147805424746,0.0350025127167984,0.0090712133836821,0.7329639241511005,0.0535529109555041,0.5393827769044031,0.0212772216370557,0.9079518293804008,0.0256395716650486,0.9770086412943556,0.0068653788169164,0.0730711527854385,0.0089893993273671
cnn_baseline_lsw,1605.613,0.4,0.0870514631646882,0.016828588559428,0.5780988437440445,0.0429913561683523,60.361877183305765,2.217733736404852,0.5721674327388613,0.0481030762210998,0.0834588159392573,0.0118882946057737,0.0496599735211808,0.0035123460858897,0.0067567567567567,0.0074016561825022,0.1487313844456701,0.106165449408283,0.5674806643378073,0.0479284018165673
attention_bigru,3165.665,0.35,0.0718361565956907,0.0086189395576681,0.6254170828952643,0.0390644663005366,61.11045228902371,1.9194400234377544,0.6123289820432676,0.064627772676794,0.0747129100975086,0.0118021808948355,0.0477871451314884,0.0062730887199221,0.0108108108108108,0.0157593294455278,0.0487221915793344,0.0239630536878682,0.6054692651835509,0.0685153016551851
