model,fold,fit_seconds,best_epoch,best_val_loss,final_val_loss,lrap,label_ranking_loss,coverage_error,hamming_loss,micro_f1,macro_f1,prediction_density,top1_hit_rate,top3_hit_rate
cnn_baseline_lsw,1,8.626,1,1.511306643486023,1.511306643486023,0.08690537517418656,0.5329400655409497,58.67567567567568,0.4993693693693694,0.10176632636525684,0.054607330434857576,0.4955855855855856,0.02027027027027027,0.12837837837837837
cnn_baseline_lsw,2,6.496,1,1.108328938484192,1.108328938484192,0.11734123367026779,0.5257975900354506,64.43243243243244,0.5563063063063063,0.0890986871219944,0.04795242862699332,0.5554954954954955,0.006756756756756757,0.3108108108108108
cnn_baseline_lsw,3,230.099,4,1.2679015398025513,1.2679015398025513,0.08708878290621559,0.6123407105875429,60.722972972972975,0.5997297297297297,0.06620844438210127,0.04479604065702401,0.5881981981981982,0.006756756756756757,0.22297297297297297
cnn_baseline_lsw,4,722.265,4,1.424882173538208,1.424882173538208,0.07660141374722197,0.5842543067372841,58.189189189189186,0.5615315315315316,0.08324753640241211,0.0483140142526538,0.5557657657657658,0.0,0.02027027027027027
cnn_baseline_lsw,5,635.017,3,1.4392908811569214,1.4392908811569214,0.06732051032554937,0.6351615458189952,59.7891156462585,0.6439002267573696,0.07697308542452216,0.052630053634375444,0.6423582766439909,0.0,0.061224489795918366
attention_bigru,1,641.668,3,1.5183794498443604,1.5183794498443604,0.07920971167619857,0.5892798053649111,62.21621621621622,0.6354954954954954,0.09703020993343574,0.058999975001170754,0.6434234234234234,0.013513513513513514,0.0472972972972973
attention_bigru,2,433.227,1,1.1163438558578491,1.1163438558578491,0.06493150826161152,0.5681925593730441,57.9527027027027,0.513063063063063,0.07141692483287135,0.040713305988361675,0.4972972972972973,0.0,0.006756756756756757
attention_bigru,3,749.493,4,1.2585724592208862,1.2585724592208862,0.06919019720119024,0.6467359767327882,61.12162162162162,0.6627027027027027,0.0653113087674714,0.04369732618883535,0.6549549549549549,0.0,0.05405405405405406
attention_bigru,4,735.135,4,1.4120771884918213,1.4120771884918213,0.0843267930778841,0.6615573696298624,60.527027027027025,0.6869369369369369,0.06476143750766589,0.04630248584841138,0.6777477477477477,0.04054054054054054,0.08108108108108109
attention_bigru,5,603.569,2,1.4488704204559326,1.4488704204559326,0.06152257276156909,0.661319703375716,63.734693877551024,0.5634467120181406,0.07504466944609887,0.049222632630662996,0.5539229024943311,0.0,0.05442176870748299
